category;shortname;fullname
149;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI MPLB 2);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI MPLB 2)
150;PENDIDIKAN AGAMA ISLAM (X TJKT 1);PENDIDIKAN AGAMA ISLAM (X TJKT 1)
150;PENDIDIKAN AGAMA KRISTEN (X TJKT 1);PENDIDIKAN AGAMA KRISTEN (X TJKT 1)
150;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X TJKT 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X TJKT 1)
150;BAHASA INDONESIA (X TJKT 1);BAHASA INDONESIA (X TJKT 1)
150;SEJARAH INDONESIA (X TJKT 1);SEJARAH INDONESIA (X TJKT 1)
150;BAHASA MANDARIN (X TJKT 1);BAHASA MANDARIN (X TJKT 1)
150;MATEMATIKA (X TJKT 1);MATEMATIKA (X TJKT 1)
150;BAHASA INGGRIS (X TJKT 1);BAHASA INGGRIS (X TJKT 1)
150;INFORMATIKA (X TJKT 1);INFORMATIKA (X TJKT 1)
150;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X TJKT 1);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X TJKT 1)
150;DASAR DASAR TJKT (X TJKT 1);DASAR DASAR TJKT (X TJKT 1)
151;PENDIDIKAN AGAMA ISLAM (X TJKT 2);PENDIDIKAN AGAMA ISLAM (X TJKT 2)
151;PENDIDIKAN AGAMA KRISTEN (X TJKT 2);PENDIDIKAN AGAMA KRISTEN (X TJKT 2)
151;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X TJKT 2);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X TJKT 2)
151;BAHASA INDONESIA (X TJKT 2);BAHASA INDONESIA (X TJKT 2)
151;SEJARAH INDONESIA (X TJKT 2);SEJARAH INDONESIA (X TJKT 2)
151;BAHASA MANDARIN (X TJKT 2);BAHASA MANDARIN (X TJKT 2)
151;MATEMATIKA (X TJKT 2);MATEMATIKA (X TJKT 2)
151;BAHASA INGGRIS (X TJKT 2);BAHASA INGGRIS (X TJKT 2)
151;INFORMATIKA (X TJKT 2);INFORMATIKA (X TJKT 2)
151;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X TJKT 2);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X TJKT 2)
151;DASAR DASAR TJKT (X TJKT 2);DASAR DASAR TJKT (X TJKT 2)
152;PENDIDIKAN AGAMA ISLAM (X TJKT 3);PENDIDIKAN AGAMA ISLAM (X TJKT 3)
152;PENDIDIKAN AGAMA KRISTEN (X TJKT 3);PENDIDIKAN AGAMA KRISTEN (X TJKT 3)
152;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X TJKT 3);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (X TJKT 3)
152;BAHASA INDONESIA (X TJKT 3);BAHASA INDONESIA (X TJKT 3)
152;SEJARAH INDONESIA (X TJKT 3);SEJARAH INDONESIA (X TJKT 3)
152;BAHASA MANDARIN (X TJKT 3);BAHASA MANDARIN (X TJKT 3)
152;MATEMATIKA (X TJKT 3);MATEMATIKA (X TJKT 3)
152;BAHASA INGGRIS (X TJKT 3);BAHASA INGGRIS (X TJKT 3)
152;INFORMATIKA (X TJKT 3);INFORMATIKA (X TJKT 3)
152;PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X TJKT 3);PROJEK ILMU PENGETAHUAN ALAM DAN SOSIAL (X TJKT 3)
152;DASAR DASAR TJKT (X TJKT 3);DASAR DASAR TJKT (X TJKT 3)
153;PENDIDIKAN AGAMA ISLAM (XI TJKT 1);PENDIDIKAN AGAMA ISLAM (XI TJKT 1)
153;PENDIDIKAN AGAMA KRISTEN (XI TJKT 1);PENDIDIKAN AGAMA KRISTEN (XI TJKT 1)
153;PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI TJKT 1);PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN (XI TJKT 1)
153;BAHASA INDONESIA (XI TJKT 1);BAHASA INDONESIA (XI TJKT 1)
153;MATEMATIKA (XI TJKT 1);MATEMATIKA (XI TJKT 1)
153;BAHASA INGGRIS  (XI TJKT 1);BAHASA INGGRIS  (XI TJKT 1)
153;BAHASA MANDARIN (XI TJKT 1);BAHASA MANDARIN (XI TJKT 1)
153;PJOK (XI TJKT 1);PJOK (XI TJKT 1)
153;TEKNOLOGI JARINGAN BERBASIS LUAS (WAN) (XI TJKT 1);TEKNOLOGI JARINGAN BERBASIS LUAS (WAN) (XI TJKT 1)
153;ADMINISTRASI INFRASTRUKTUR JARINGAN (XI TJKT 1);ADMINISTRASI INFRASTRUKTUR JARINGAN (XI TJKT 1)
153;ADMINISTRASI SISTEM JARINGAN (XI TJKT 1);ADMINISTRASI SISTEM JARINGAN (XI TJKT 1)
153;TEKNOLOGI LAYANAN JARINGAN (XI TJKT 1);TEKNOLOGI LAYANAN JARINGAN (XI TJKT 1)
153;PRODUK KREATIF DAN KEWIRAUSAHAAN (XI TJKT 1);PRODUK KREATIF DAN KEWIRAUSAHAAN (XI TJKT 1)
154;PENDIDIKAN AGAMA ISLAM (XI TJKT 2);PENDIDIKAN AGAMA ISLAM (XI TJKT 2)
154;PENDIDIKAN AGAMA KRISTEN (XI TJKT 2);PENDIDIKAN AGAMA KRISTEN (XI TJKT 2)
